fecha,id_producto,id_sucursal,Suma de unidades_vendidas
2023-01-01 00:00:00,P001,S01,56
2023-01-01 00:00:00,P001,S02,55
2023-01-01 00:00:00,P001,S03,92
2023-01-01 00:00:00,P001,S04,65
2023-01-01 00:00:00,P001,S05,66
2023-01-01 00:00:00,P002,S01,50
2023-01-01 00:00:00,P002,S03,43
2023-01-01 00:00:00,P002,S04,24
2023-01-01 00:00:00,P002,S05,64
2023-01-01 00:00:00,P003,S01,23
2023-01-01 00:00:00,P003,S03,24
2023-01-01 00:00:00,P003,S04,18
2023-01-01 00:00:00,P004,S01,12
2023-01-01 00:00:00,P004,S02,21
2023-01-01 00:00:00,P004,S04,16
2023-01-01 00:00:00,P004,S05,13
2023-01-01 00:00:00,P005,S01,37
2023-01-01 00:00:00,P005,S02,67
2023-01-01 00:00:00,P005,S03,33
2023-01-01 00:00:00,P005,S04,59
2023-01-01 00:00:00,P005,S05,48
2023-01-01 00:00:00,P006,S03,12
2023-01-01 00:00:00,P006,S04,8
2023-01-01 00:00:00,P006,S05,11
2023-01-01 00:00:00,P007,S01,16
2023-01-01 00:00:00,P007,S02,23
2023-01-01 00:00:00,P007,S04,11
2023-01-01 00:00:00,P007,S05,20
2023-01-01 00:00:00,P008,S04,11
2023-01-01 00:00:00,P009,S01,5
2023-01-01 00:00:00,P009,S03,2
2023-01-01 00:00:00,P009,S04,4
2023-01-01 00:00:00,P009,S05,4
2023-01-01 00:00:00,P010,S01,7
2023-01-01 00:00:00,P010,S03,23
2023-01-01 00:00:00,P010,S05,23
2023-01-01 00:00:00,P011,S02,68
2023-01-01 00:00:00,P011,S03,71
2023-01-01 00:00:00,P011,S04,45
2023-01-01 00:00:00,P011,S05,54
2023-01-01 00:00:00,P012,S01,7
2023-01-01 00:00:00,P012,S02,19
2023-01-01 00:00:00,P012,S03,15
2023-01-01 00:00:00,P012,S04,10
2023-01-01 00:00:00,P012,S05,23
2023-01-01 00:00:00,P013,S01,18
2023-01-01 00:00:00,P013,S02,9
2023-01-01 00:00:00,P013,S03,26
2023-01-01 00:00:00,P013,S04,19
2023-01-01 00:00:00,P014,S01,3
2023-01-01 00:00:00,P014,S04,6
2023-01-01 00:00:00,P015,S01,21
2023-01-01 00:00:00,P015,S02,10
2023-01-01 00:00:00,P015,S04,9
2023-01-01 00:00:00,P015,S05,13
2023-01-01 00:00:00,P016,S01,22
2023-01-01 00:00:00,P016,S02,22
2023-01-01 00:00:00,P016,S03,36
2023-01-01 00:00:00,P016,S04,36
2023-01-01 00:00:00,P016,S05,23
2023-01-01 00:00:00,P017,S01,33
2023-01-01 00:00:00,P017,S02,30
2023-01-01 00:00:00,P017,S03,50
2023-01-01 00:00:00,P017,S04,71
2023-01-01 00:00:00,P017,S05,50
2023-01-01 00:00:00,P018,S01,15
2023-01-01 00:00:00,P018,S04,18
2023-01-01 00:00:00,P018,S05,8
2023-01-01 00:00:00,P019,S03,15
2023-01-01 00:00:00,P019,S05,16
2023-01-01 00:00:00,P020,S01,63
2023-01-01 00:00:00,P020,S02,64
2023-01-01 00:00:00,P020,S03,41
2023-01-01 00:00:00,P020,S04,59
2023-01-01 00:00:00,P020,S05,34
2023-01-01 00:00:00,P021,S01,15
2023-01-01 00:00:00,P021,S02,10
2023-01-01 00:00:00,P021,S04,9
2023-01-01 00:00:00,P021,S05,6
2023-01-01 00:00:00,P022,S01,20
2023-01-01 00:00:00,P022,S02,19
2023-01-01 00:00:00,P022,S04,11
2023-01-01 00:00:00,P023,S01,10
2023-01-01 00:00:00,P023,S02,6
2023-01-01 00:00:00,P023,S04,1
2023-01-01 00:00:00,P023,S05,4
2023-01-01 00:00:00,P024,S02,2
2023-01-01 00:00:00,P024,S03,6
2023-01-01 00:00:00,P025,S01,35
2023-01-01 00:00:00,P025,S02,47
2023-01-01 00:00:00,P025,S03,33
2023-01-01 00:00:00,P025,S04,50
2023-01-01 00:00:00,P025,S05,29
2023-01-01 00:00:00,P026,S02,23
2023-01-01 00:00:00,P026,S03,23
2023-01-01 00:00:00,P026,S04,17
2023-01-01 00:00:00,P026,S05,22
2023-01-01 00:00:00,P027,S02,11
2023-01-01 00:00:00,P027,S04,8
2023-01-01 00:00:00,P027,S05,16
2023-01-01 00:00:00,P028,S01,9
2023-01-01 00:00:00,P028,S02,13
2023-01-01 00:00:00,P028,S03,19
2023-01-01 00:00:00,P028,S05,7
2023-01-01 00:00:00,P029,S03,4
2023-01-01 00:00:00,P029,S04,7
2023-01-01 00:00:00,P029,S05,6
2023-01-01 00:00:00,P030,S01,5
2023-01-01 00:00:00,P030,S03,7
2023-01-01 00:00:00,P030,S04,2
2023-01-02 00:00:00,P001,S01,41
2023-01-02 00:00:00,P001,S02,51
2023-01-02 00:00:00,P001,S03,40
2023-01-02 00:00:00,P002,S01,46
2023-01-02 00:00:00,P002,S02,63
2023-01-02 00:00:00,P002,S03,55
2023-01-02 00:00:00,P002,S05,51
2023-01-02 00:00:00,P003,S01,24
2023-01-02 00:00:00,P003,S02,8
2023-01-02 00:00:00,P003,S03,13
2023-01-02 00:00:00,P003,S05,14
2023-01-02 00:00:00,P004,S01,19
