fecha,id_producto,nombre_producto,categoria,id_sucursal,nombre_sucursal,proveedor,unidades_vendidas,unidades_recibidas,stock_cierre,precio_unitario,costo_unitario,importe_venta,importe_costo
2024-06-06,P025,Papel Higiénico 4-pack,Higiene,S01,Mérida Centro,Grupo Abasto del Sur,45,0.0,56,61.01,30.0,2745.45,1350.0
2023-08-17,P007,Jabón Multiusos 500ml,Limpieza,S05,Playa del Carmen,Proveedor Central del Caribe,9,0.0,146,41.74,19.0,375.66,171.0
2023-12-14,P018,Café Molido 250g,Abarrotes,S04,Cancún Centro,Comercializadora Peninsular,14,0.0,203,84.89,42.0,1188.46,588.0
2023-07-09,P006,Detergente Líquido 1L,Limpieza,S04,Cancún Centro,Logística Maya S.A.,16,0.0,218,72.62,35.0,1161.92,560.0
2023-11-25,P010,Esponja Cocina Pack 3,Limpieza,S01,Mérida Centro,Comercializadora Peninsular,13,95.0,278,33.61,15.0,436.93,195.0
2023-05-27,P013,Aceite Vegetal 1L,Abarrotes,S03,Cancún,Distribuidora Norte S.A.,10,0.0,165,55.43,28.0,554.3,280.0
2023-11-12,P025,Papel Higiénico 4-pack,Higiene,S04,Cancún Centro,,26,,137,59.6,30.0,1549.6,780.0
2023-12-04,P008,Cloro Blanqueador 1L,LIMPIEZA,S05,Playa del Carmen,Proveedor Central del Caribe,7,113.0,669,26.9,12.0,188.3,84.0
2023-01-06,P023,Crema Ácida 200g,Lácteos,S03,Cancún,Proveedor Central del Caribe,4,0.0,410,32.6,16.0,130.4,64.0
2023-08-22,P001,Agua Mineral 1L,Bebidas,S03,Cancún,Grupo Abasto del Sur,32,0.0,92,18.06,8.0,577.92,256.0
2024-02-02,P018,Café Molido 250g,Abarrotes,S03,Cancún,Comercializadora Peninsular,18,200.0,206,83.4,42.0,1501.2,756.0
2023-02-25,P007,Jabón Multiusos 500ml,Limpieza,S04,Cancún Centro,Logística Maya S.A.,8,0.0,155,40.81,19.0,326.48,152.0
2024-03-04,P007,Jabón Multiusos 500ml,Limpieza,S03,Cancún,,15,0.0,85,40.73,19.0,610.95,285.0
2023-03-24,P020,Leche Entera 1L,Lácteos,S03,Cancún,Grupo Abasto del Sur,55,0.0,252,25.49,14.0,1401.95,770.0
2023-03-06,P019,Harina de Trigo 1kg,Abarrotes,S01,Mérida Centro,Comercializadora Peninsular,19,0.0,216,21.92,10.0,416.48,190.0
2024-01-29,P006,Detergente Líquido 1L,Limpieza,S04,Cancún Centro,Logística Maya S.A.,13,0.0,84,73.84,35.0,959.92,455.0
2023-02-25,P026,Shampoo 400ml,Higiene,S02,Mérida Norte,Distribuidora Norte S.A.,7,0.0,146,77.72,38.0,544.04,266.0
2024-03-01,P005,Cerveza Lata 355ml,Bebidas,S05,Playa del Carmen,Grupo Abasto del Sur,30,0.0,93,28.37,14.0,851.1,420.0
2024-02-09,P005,Cerveza Lata 355ml,Bebidas,S05,Playa del Carmen,Grupo Abasto del Sur,58,0.0,176,28.34,14.0,1643.72,812.0
2023-11-22,P029,Desodorante Spray 150ml,Higiene,S01,Mérida Centro,Comercializadora Peninsular,4,0.0,1019,72.45,35.0,289.8,140.0
2023-04-04,P004,Agua Sabor Limón 600ml,Bebidas,S04,Cancún Centro,Proveedor Central del Caribe,8,0.0,325,15.63,7.5,125.04,60.0
