match_id,date,league_id,league_name,home_team_id,home_team,away_team_id,away_team,home_elevation_dif,away_elevation_dif,away_travel,teamA_fr_rag,teamB_fr_rag,minutes_played,time_segment,match_state,player_dif,teamA_xg,teamB_xg,source_segments,first_segment_id,last_segment_id
20668,2024-01-01 20:00:00,5,Premier League,3,Liverpool,13,Team 13,2,12,193,0.604473,0.379268,15,1,0.0,0.0,0.8,0.08,1,119195,119195
20668,2024-01-01 20:00:00,5,Premier League,3,Liverpool,13,Team 13,2,12,193,0.604473,0.379268,15,2,0.0,0.0,1.38,0.0,1,119196,119196
20668,2024-01-01 20:00:00,5,Premier League,3,Liverpool,13,Team 13,2,12,193,0.805964,0.50569,20,3,0.0,0.0,0.6,0.0,1,119197,119197
20668,2024-01-01 20:00:00,5,Premier League,3,Liverpool,13,Team 13,2,12,193,0.394045,0.24771300000000002,10,4,0.0,0.0,0.89,0.0,2,119198,119200
20668,2024-01-01 20:00:00,5,Premier League,3,Liverpool,13,Team 13,2,12,193,0.201491,0.126423,5,4,0.5,0.0,0.52,0.25,1,119199,119199
20668,2024-01-01 20:00:00,5,Premier League,3,Liverpool,13,Team 13,2,12,193,0.558505,0.3234578,14,5,0.0,0.0,1.5599999999999998,0.02,2,119201,119202
20668,2024-01-01 20:00:00,5,Premier League,3,Liverpool,13,Team 13,2,12,193,0.3899138,0.19439859999999998,9,6,0.5,0.0,1.34,0.07,4,119203,119207
20668,2024-01-01 20:00:00,5,Premier League,3,Liverpool,13,Team 13,2,12,193,0.532754,0.25234449999999997,12,6,1.5,0.0,0.31,0.18,2,119205,119208
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.319781,0.334902,15,1,0.0,0.0,0.23,0.0,1,119352,119352
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.319781,0.334902,15,2,0.0,0.0,0.0,0.21,1,119353,119353
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.213187,0.223268,10,3,0.0,0.0,0.05,0.0,1,119354,119354
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.12847,0.127899,6,3,0.0,-0.5,0.0,0.0,1,119355,119355
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.0214116,0.0213165,1,4,0.0,-0.5,0.0,1.07,1,119356,119356
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.0201309,0.0205288,1,4,-0.5,-0.5,0.0,0.43,1,119357,119357
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.0603926,0.0615865,3,4,-1.5,-0.5,0.0,0.0,1,119358,119358
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.1861545,0.1913949,10,4,-1.5,-1.5,0.0,0.12,2,119359,119360
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.253953,0.2698796,15,5,-1.5,-1.5,0.0,0.0,3,119361,119363
21032,2024-01-02 17:00:00,6,La Liga,24,Getafe,202,Rayo Vallecano,190,196,9,0.21795169999999997,0.2963137,15,6,-1.5,-1.5,0.1,0.28,3,119364,119366
21033,2024-01-02 19:15:00,6,La Liga,38,Real Sociedad,523,Alavés,-119,141,78,0.220961,0.208853,15,1,0.0,0.0,0.05,0.05,1,119367,119367
21033,2024-01-02 19:15:00,6,La Liga,38,Real Sociedad,523,Alavés,-119,141,78,0.220961,0.208853,15,2,0.0,0.0,0.32,0.0,1,119368,119368
21033,2024-01-02 19:15:00,6,La Liga,38,Real Sociedad,523,Alavés,-119,141,78,0.0883845,0.0835412,6,3,0.0,0.0,0.04,0.0,1,119369,119369
21033,2024-01-02 19:15:00,6,La Liga,38,Real Sociedad,523,Alavés,-119,141,78,0.1578531,0.1559063,11,3,0.0,-0.5,0.0,0.07,2,119370,119371
21033,2024-01-02 19:15:00,6,La Liga,38,Real Sociedad,523,Alavés,-119,141,78,0.2165927,0.2190809,15,4,0.0,-0.5,0.3,0.05,2,119372,119373
21033,2024-01-02 19:15:00,6,La Liga,38,Real Sociedad,523,Alavés,-119,141,78,0.2289657,0.24767440000000002,15,5,0.0,-0.5,0.0,0.0,2,119374,119375
21033,2024-01-02 19:15:00,6,La Liga,38,Real Sociedad,523,Alavés,-119,141,78,0.1043144,0.09972629999999999,6,6,0.0,-0.5,0.3,0.79,2,119376,119380
21033,2024-01-02 19:15:00,6,La Liga,38,Real Sociedad,523,Alavés,-119,141,78,0.3203956,0.31881689999999996,20,6,-0.5,-0.5,0.25,0.02,3,119377,119379
20669,2024-01-02 19:30:00,5,Premier League,4,Team 4,160,Brighton,-22,11,75,0.386258,0.443404,15,1,0.0,0.0,0.0,0.0,1,119343,119343
20669,2024-01-02 19:30:00,5,Premier League,4,Team 4,160,Brighton,-22,11,75,0.386258,0.443404,15,2,0.0,0.0,0.28,0.02,1,119344,119344
20669,2024-01-02 19:30:00,5,Premier League,4,Team 4,160,Brighton,-22,11,75,0.386258,0.443404,15,3,0.0,0.0,0.02,0.69,1,119345,119345
20669,2024-01-02 19:30:00,5,Premier League,4,Team 4,160,Brighton,-22,11,75,0.386258,0.443404,15,4,0.0,0.0,0.02,0.32,1,119346,119346
20669,2024-01-02 19:30:00,5,Premier League,4,Team 4,160,Brighton,-22,11,75,0.40040430000000005,0.42155509999999996,15,5,0.0,0.0,0.36,0.44,4,119347,119350
20669,2024-01-02 19:30:00,5,Premier League,4,Team 4,160,Brighton,-22,11,75,0.546748,0.442528,20,6,0.0,0.0,0.0,0.92,1,119351,119351
21034,2024-01-02 21:30:00,6,La Liga,37,Valencia,23,Villarreal,-114,-98,57,0.102715,0.0597538,4,1,0.0,0.0,0.35,0.0,1,119381,119381
21034,2024-01-02 21:30:00,6,La Liga,37,Valencia,23,Villarreal,-114,-98,57,0.282466,0.164323,11,1,0.5,0.0,0.47,0.0,1,119382,119382
21034,2024-01-02 21:30:00,6,La Liga,37,Valencia,23,Villarreal,-114,-98,57,0.3006755,0.1817299,12,2,0.5,0.0,0.83,0.09,2,119383,119384
21034,2024-01-02 21:30:00,6,La Liga,37,Valencia,23,Villarreal,-114,-98,57,0.0747953,0.0455559,3,2,1.5,0.0,0.0,0.0,1,119385,119385
21034,2024-01-02 21:30:00,6,La Liga,37,Valencia,23,Villarreal,-114,-98,57,0.373977,0.22778,15,3,1.5,0.0,0.15,0.17,1,119386,119386
21034,2024-01-02 21:30:00,6,La Liga,37,Valencia,23,Villarreal,-114,-98,57,0.3739763,0.2277799,15,4,1.5,0.0,0.83,0.0,2,119387,119388
21034,2024-01-02 21:30:00,6,La Liga,37,Valencia,23,Villarreal,-114,-98,57,0.3745756,0.2325452,15,5,1.5,0.0,0.0,0.24,5,119389,119393
21034,2024-01-02 21:30:00,6,La Liga,37,Valencia,23,Villarreal,-114,-98,57,0.3528973,0.24420770000000003,18,6,1.5,0.0,0.17,0.03,3,119394,119396
21035,2024-01-03 17:00:00,6,La Liga,524,Team 524,21,Team 21,216,-119,249,0.257551,0.262146,15,1,0.0,0.0,0.25,0.16,1,119397,119397
21035,2024-01-03 17:00:00,6,La Liga,524,Team 524,21,Team 21,216,-119,249,0.120191,0.122335,7,2,0.0,0.0,0.94,0.02,1,119398,119398
21035,2024-01-03 17:00:00,6,La Liga,524,Team 524,21,Team 21,216,-119,249,0.137361,0.139811,8,2,0.5,0.0,0.06,0.06,1,119399,119399
21035,2024-01-03 17:00:00,6,La Liga,524,Team 524,21,Team 21,216,-119,249,0.446422,0.454387,26,3,0.5,0.0,0.71,0.09,1,119400,119400
21035,2024-01-03 17:00:00,6,La Liga,524,Team 524,21,Team 21,216,-119,249,0.15534209999999998,0.1585614,9,4,0.5,0.0,0.0,0.16,2,119401,119402
21035,2024-01-03 17:00:00,6,La Liga,524,Team 524,21,Team 21,216,-119,249,0.2656851,0.2980068,16,5,0.5,0.5,0.36000000000000004,0.05,3,119403,119405
21035,2024-01-03 17:00:00,6,La Liga,524,Team 524,21,Team 21,216,-119,249,0.4851941999999999,0.6166396000000001,28,6,1.5,0.5,0.6300000000000001,0.27,7,119406,119412
21036,2024-01-03 19:15:00,6,La Liga,31,Real Madrid,201,Mallorca,236,-93,546,0.263493,0.209014,15,1,0.0,0.0,0.05,0.0,1,119413,119413
21036,2024-01-03 19:15:00,6,La Liga,31,Real Madrid,201,Mallorca,236,-93,546,0.263493,0.209014,15,2,0.0,0.0,0.28,0.0,1,119414,119414
21036,2024-01-03 19:15:00,6,La Liga,31,Real Madrid,201,Mallorca,236,-93,546,0.298626,0.236883,17,3,0.0,0.0,0.11,0.11,1,119415,119415
21036,2024-01-03 19:15:00,6,La Liga,31,Real Madrid,201,Mallorca,236,-93,546,0.2569752,0.20560730000000002,15,4,0.0,0.0,0.12,0.37,2,119416,119417
21036,2024-01-03 19:15:00,6,La Liga,31,Real Madrid,201,Mallorca,236,-93,546,0.236268,0.1652032,13,5,0.0,0.0,1.06,0.0,2,119418,119419
21036,2024-01-03 19:15:00,6,La Liga,31,Real Madrid,201,Mallorca,236,-93,546,0.1010363,0.0528832,5,6,0.0,0.0,0.08,0.0,2,119420,119421
21036,2024-01-03 19:15:00,6,La Liga,31,Real Madrid,201,Mallorca,236,-93,546,0.3043203,0.17628080000000002,15,6,0.5,0.0,0.14,0.1,3,119422,119424
21037,2024-01-03 19:15:00,6,La Liga,25,Celta Vigo,27,Team 27,-119,-117,589,0.102378,0.117068,6,1,0.0,0.0,0.0,0.31,1,119425,119425
21037,2024-01-03 19:15:00,6,La Liga,25,Celta Vigo,27,Team 27,-119,-117,589,0.153568,0.175602,9,1,-0.5,0.0,0.0,0.0,1,119426,119426
21037,2024-01-03 19:15:00,6,La Liga,25,Celta Vigo,27,Team 27,-119,-117,589,0.0170631,0.0195113,1,2,-0.5,0.0,0.79,0.0,1,119427,119427
21037,2024-01-03 19:15:00,6,La Liga,25,Celta Vigo,27,Team 27,-119,-117,589,0.238883,0.273158,14,2,0.0,0.0,0.08,0.02,1,119428,119428
21037,2024-01-03 19:15:00,6,La Liga,25,Celta Vigo,27,Team 27,-119,-117,589,0.273009,0.312181,16,3,0.0,0.0,0.11,0.0,1,119429,119429
