segment_id,match_id,date,home_team,away_team,teamA_players,teamB_players,teamA_xg,teamB_xg,minutes_played
78000,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.0,0.17,2
78001,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.07,0.04,13
78002,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.05,0.0,15
78003,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.79,0.0,4
78004,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.23,0.0,11
78005,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.22,0.15,15
78006,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.0,0.13,2
78007,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.0,0.3,9
78008,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.0,0.0,1
78009,13614,2022-12-29 17:00:00,Girona,Rayo Vallecano,"[""Paulo Gazzaniga_13_G"", ""Miguel Gutiérrez_3_G"", ""Arnau Martinez_4_G"", ""David López_5_G"", ""Cristhian Stuani_7_G"", ""Aleix García_14_G"", ""Toni Villa_19_G"", ""Oriol Romeu_14_G"", ""Valery Fernández_11_G"", ""Santiago Bueno_22_G"", ""Samuel Sáiz_10_G""]","[""Stole Dimitrievski_1_RV"", ""Fran Garcia_3_RV"", ""Radamel Falcao_9_RV"", ""Isaac Palazón Camacho_7_RV"", ""Unai López_17_RV"", ""Abdul Mumin_16_RV"", ""Álvaro García_18_RV"", ""Florian Lejeune_24_RV"", ""Iván Balliu_20_RV"", ""Pathé Ciss_6_RV"", ""Sergio Camello_14_RV""]",0.97,0.0,3
