fecha,campana_id,canal,tipo_campana,objetivo,audiencia,impresiones,clics,ctr,cpc_mxn,gasto_mxn,conversiones,valor_conv_mxn,roas,dia_semana
2024-11-10,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,6267,85,0.01356,5.45,467.15,0,0.0,0.0,Sunday
2024-06-18,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,412,36,0.08723,19.36,707.76,2,1256.68,1.78,Tuesday
2024-05-26,GG-DSP-001,Google,Display,Impresiones,Afinidad: bienestar y fitness,14286,179,0.01253,3.27,586.7,2,1465.95,2.5,Sunday
2024-04-04,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2601,169,0.06496,9.85,1666.62,9,7784.51,4.67,Thursday
2024-02-12,FB-CON-002,Facebook,Consideracion,Trafico,"Intereses: yoga, meditacion, fitness",3376,132,0.03909,7.17,949.99,4,2596.36,2.73,Monday
2024-01-09,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2101,165,0.07852,10.51,1740.15,13,5919.48,3.4,Tuesday
2024-03-03,FB-CON-001,Facebook,Consideracion,,,3309,109,,6.97,762.13,1,563.52,0.74,Sunday
2024-07-15,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,8436,86,0.01019,4.78,413.73,0,0.0,0.0,Monday
2024-09-13,FB-CON-002,Facebook,Consideracion,Trafico,"Intereses: yoga, meditacion, fitness",3109,129,0.04149,6.42,832.98,2,1142.33,1.37,Friday
2024-03-29,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",5521,111,0.0201,6.24,698.15,1,886.07,1.27,Friday
2024-04-11,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,550,72,0.13087,16.8,1224.46,3,1731.62,1.41,Thursday
2024-02-11,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2253,100,0.04438,11.03,1108.24,6,2839.94,2.56,Sunday
2024-12-26,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,4298,74,0.01722,6.91,517.33,1,801.01,1.55,Thursday
2024-06-12,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2524,126,0.0499,11.59,1466.47,7,6304.65,4.3,Wednesday
2024-10-12,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,490,42,0.08559,17.95,764.61,1,636.98,0.83,Saturday
2024-09-04,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,480,43,0.08949,16.92,731.86,2,1572.75,2.15,Wednesday
2024-01-02,GG-DSP-002,Google,Display,Impresiones,Remarketing sitio web 7 días,16772,264,0.01574,3.07,811.25,3,1871.37,2.31,Tuesday
2024-11-20,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,11050,145,0.01312,3.96,578.63,0,0.0,0.0,Wednesday
2024-09-21,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,457,39,0.08531,17.92,709.22,2,1566.69,2.21,Saturday
2024-03-20,FB-AWA-001,FACEBOOK,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,11450,164,0.01432,3.91,644.11,1,811.6,1.26,Wednesday
2024-03-23,GG-DSP-002,Google,Display,Impresiones,Remarketing sitio web 7 días,11895,127,0.01068,3.83,486.51,1,472.53,0.97,Saturday
2024-01-09,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,357,53,0.14831,19.19,1023.85,6,4991.59,4.88,Tuesday
2024-02-19,GG-YTB-001,Google,YouTube,Vistas,,6012,157,,4.74,747.16,2,1233.55,1.65,Monday
