audiencia,campana_id
Lookalike 1% compradores anteriores,FB-AWA-002
Intención: como perder peso en casa,GG-SRC-003
Afinidad: bienestar y fitness,GG-DSP-001
Retargeting carrito abandonado,FB-CVR-001
"Intereses: yoga, meditacion, fitness",FB-CON-002
Retargeting visitantes 30 días,FB-CON-001
Mujeres 25-40 CDMX interesadas en bienestar,FB-AWA-001
"Canal: wellness, yoga, fitness",GG-YTB-001
Intención: cursos de yoga online MX,GG-SRC-001
Remarketing sitio web 7 días,GG-DSP-002
Intención: meditacion guiada online,GG-SRC-002
Lookalike 3% suscriptores activos,FB-CVR-002
