transaccion_id,usuario_id,campana_id,canal_origen,tipo_campana,fecha,timestamp,producto,categoria,precio_lista_mxn,descuento_mxn,precio_final_mxn,costo_mxn,margen_mxn,metodo_pago,dispositivo
TX90001,U0001022,FB-AWA-002,Meta,Awareness,2024-11-10,2024-11-10 18:47:00,Curso Yoga Completo,Curso,1499.0,0.0,1499.0,280,1219.0,tarjeta_debito,movil
TX90002,U0001056,FB-AWA-002,Meta,Awareness,2024-11-10,2024-11-10 10:06:00,Curso Yoga Completo,Curso,1499.0,149.9,1349.1,280,1069.1,tarjeta_debito,movil
TX90003,U0001079,FB-AWA-002,Meta,Awareness,2024-11-10,2024-11-10 20:18:00,Membresia Mensual,Membresia,349.0,0.0,349.0,60,289.0,tarjeta_debito,movil
TX90004,U0001106,GG-SRC-003,Google,Search,2024-06-18,2024-06-18 16:57:00,Curso Yoga Completo,Curso,1499.0,0.0,1499.0,280,1219.0,tarjeta_credito,movil
TX90005,U0001108,GG-SRC-003,Google,Search,2024-06-18,2024-06-18 09:33:00,Pack Inicio Bienestar,Bundle,1299.0,0.0,1299.0,240,1059.0,tarjeta_debito,desktop
TX90006,U0001116,GG-SRC-003,Google,Search,2024-06-18,2024-06-18 21:26:00,Pack Inicio Bienestar,Bundle,1299.0,0.0,1299.0,240,1059.0,tarjeta_credito,movil
TX90007,U0001152,GG-DSP-001,Google,Display,2024-05-26,2024-05-26 16:53:00,Membresia Mensual,Membresia,349.0,0.0,349.0,60,289.0,paypal,movil
TX90008,U0001305,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 11:15:00,Curso Nutricion Funcional,Curso,999.0,0.0,999.0,200,799.0,tarjeta_debito,movil
TX90009,U0001308,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 18:34:00,Membresia Mensual,Membresia,349.0,0.0,349.0,60,289.0,tarjeta_credito,movil
TX90010,U0001313,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 12:09:00,Curso Meditacion 21 Dias,Curso,799.0,0.0,799.0,150,649.0,tarjeta_credito,movil
TX90011,U0001353,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 20:41:00,Curso Meditacion 21 Dias,Curso,799.0,0.0,799.0,150,649.0,oxxo,desktop
TX90012,U0001371,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 19:17:00,Curso Fitness En Casa,Curso,699.0,0.0,699.0,130,569.0,tarjeta_debito,movil
TX90013,U0001380,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 17:57:00,Curso Fitness En Casa,Curso,699.0,0.0,699.0,130,569.0,tarjeta_debito,desktop
TX90014,U0001407,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 22:02:00,Membresia Mensual,Membresia,349.0,0.0,349.0,60,289.0,tarjeta_debito,desktop
TX90015,U0001411,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 09:16:00,Membresia Trimestral,Membresia,899.0,0.0,899.0,150,749.0,tarjeta_debito,movil
TX90016,U0001424,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 12:31:00,Curso Yoga Completo,Curso,1499.0,449.7,1049.3,280,769.3,tarjeta_debito,movil
TX90017,U0001433,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 21:09:00,Taller En Vivo Mindfulness,Taller,299.0,0.0,299.0,80,219.0,tarjeta_debito,desktop
TX90018,U0001444,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 20:28:00,Membresia Mensual,Membresia,349.0,0.0,349.0,60,289.0,tarjeta_debito,desktop
TX90019,U0001455,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 09:21:00,Membresia Mensual,Membresia,349.0,34.9,314.1,60,254.1,tarjeta_credito,desktop
TX90020,U0001456,FB-CVR-001,Meta,Conversion,2024-04-04,2024-04-04 20:06:00,Curso Fitness En Casa,Curso,699.0,0.0,699.0,130,569.0,Desconocido,movil
TX90021,U0001500,FB-CON-002,Meta,Consideracion,2024-02-12,2024-02-12 20:12:00,Curso Fitness En Casa,Curso,699.0,0.0,699.0,130,569.0,paypal,tablet
TX90022,U0001506,FB-CON-002,Meta,Consideracion,2024-02-12,2024-02-12 15:59:00,Curso Pilates Basico,Curso,599.0,0.0,599.0,110,489.0,tarjeta_credito,movil
TX90023,U0001516,FB-CON-002,Meta,Consideracion,2024-02-12,2024-02-12 22:51:00,Membresia Mensual,Membresia,349.0,0.0,349.0,60,289.0,oxxo,movil
TX90024,U0001548,FB-CON-002,Meta,Consideracion,2024-02-12,2024-02-12 10:45:00,Curso Nutricion Funcional,Curso,999.0,0.0,999.0,200,799.0,oxxo,desktop
TX90025,U0001581,FB-CON-002,Meta,Consideracion,2024-02-12,2024-02-12 14:29:00,Membresia Mensual,Membresia,349.0,34.9,314.1,60,254.1,tarjeta_credito,desktop
TX90026,U0001606,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 10:00:00,Curso Yoga Completo,Curso,1499.0,449.7,1049.3,280,769.3,oxxo,desktop
TX90027,U0001625,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 12:41:00,Curso Yoga Completo,Curso,1499.0,149.9,1349.1,280,1069.1,tarjeta_debito,tablet
TX90028,U0001631,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 17:45:00,Curso Yoga Completo,Curso,1499.0,0.0,1499.0,280,1219.0,tarjeta_credito,movil
TX90029,U0001632,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 16:26:00,Membresia Mensual,Membresia,349.0,0.0,349.0,60,289.0,tarjeta_debito,movil
TX90030,U0001646,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 20:53:00,Curso Fitness En Casa,Curso,699.0,0.0,699.0,130,569.0,tarjeta_debito,tablet
TX90031,U0001648,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 18:48:00,Curso Meditacion 21 Dias,Curso,799.0,0.0,799.0,150,649.0,tarjeta_debito,desktop
TX90032,U0001653,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 18:32:00,Curso Pilates Basico,Curso,599.0,0.0,599.0,110,489.0,tarjeta_credito,movil
TX90033,U0001663,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 17:58:00,Pack Inicio Bienestar,Bundle,1299.0,389.7,909.3,240,669.3,tarjeta_credito,movil
TX90034,U0001670,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 20:40:00,Curso Meditacion 21 Dias,Curso,799.0,119.85,679.15,150,529.15,tarjeta_credito,movil
TX90035,U0001672,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 13:42:00,Membresia Mensual,Membresia,349.0,34.9,314.1,60,254.1,tarjeta_credito,movil
TX90036,U0001684,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 19:35:00,Curso Yoga Completo,Curso,1499.0,149.9,1349.1,280,1069.1,paypal,desktop
TX90037,U0001692,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 18:48:00,Membresia Mensual,Membresia,349.0,0.0,349.0,60,289.0,tarjeta_debito,movil
TX90038,U0001708,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 18:01:00,Curso Fitness En Casa,Curso,699.0,0.0,699.0,130,569.0,oxxo,movil
TX90039,U0001712,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 18:54:00,Pack Inicio Bienestar,Bundle,1299.0,0.0,1299.0,240,1059.0,paypal,tablet
TX90040,U0001727,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 17:33:00,Curso Fitness En Casa,Curso,699.0,0.0,699.0,130,569.0,tarjeta_credito,desktop
TX90041,U0001735,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 08:20:00,Curso Fitness En Casa,Curso,699.0,69.9,629.1,130,499.1,tarjeta_debito,desktop
TX90042,U0001743,FB-CVR-001,Meta,Conversion,2024-01-09,2024-01-09 12:18:00,Pack Inicio Bienestar,Bundle,1299.0,194.85,1104.15,240,864.15,tarjeta_debito,movil
TX90043,U0001799,FB-CON-001,Meta,Consideracion,2024-03-03,2024-03-03 11:18:00,Membresia Trimestral,Membresia,899.0,0.0,899.0,150,749.0,tarjeta_credito,tablet
TX90044,U0001818,FB-CON-001,Meta,Consideracion,2024-03-03,2024-03-03 09:53:00,Pack Inicio Bienestar,Bundle,1299.0,0.0,1299.0,240,1059.0,tarjeta_credito,movil
TX90045,U0001833,FB-CON-001,Meta,Consideracion,2024-03-03,2024-03-03 13:10:00,Curso Nutricion Funcional,Curso,999.0,0.0,999.0,200,799.0,tarjeta_debito,desktop
TX90046,U0001834,FB-CON-001,Meta,Consideracion,2024-03-03,2024-03-03 16:08:00,Curso Pilates Basico,Curso,599.0,0.0,599.0,110,489.0,tarjeta_debito,movil
TX90047,U0001917,FB-AWA-001,Meta,Awareness,2024-07-15,2024-07-15 08:55:00,Curso Yoga Completo,Curso,1499.0,0.0,1499.0,280,1219.0,paypal,desktop
TX90048,U0001947,FB-CON-002,Meta,Consideracion,2024-09-13,2024-09-13 11:09:00,Curso Meditacion 21 Dias,Curso,799.0,0.0,799.0,150,649.0,tarjeta_debito,movil
TX90049,U0001967,FB-CON-002,Meta,Consideracion,2024-09-13,2024-09-13 22:12:00,Curso Meditacion 21 Dias,Curso,799.0,0.0,799.0,150,649.0,tarjeta_credito,movil
TX90050,U0001999,FB-CON-002,Meta,Consideracion,2024-09-13,2024-09-13 21:33:00,Curso Nutricion Funcional,Curso,999.0,0.0,999.0,200,799.0,tarjeta_credito,movil
TX90051,U0002041,FB-CON-002,Meta,Consideracion,2024-09-13,2024-09-13 16:03:00,Curso Yoga Completo,Curso,1499.0,0.0,1499.0,280,1219.0,tarjeta_debito,desktop
TX90052,U0002072,FB-CON-002,Meta,Consideracion,2024-09-13,2024-09-13 13:06:00,Membresia Trimestral,Membresia,899.0,0.0,899.0,150,749.0,tarjeta_credito,movil
TX90053,U0002084,GG-YTB-001,Google,YouTube,2024-03-29,2024-03-29 12:09:00,Curso Meditacion 21 Dias,Curso,799.0,0.0,799.0,150,649.0,paypal,movil
TX90054,U0002152,GG-YTB-001,Google,YouTube,2024-03-29,2024-03-29 18:28:00,Membresia Mensual,Membresia,349.0,0.0,349.0,60,289.0,tarjeta_credito,desktop
TX90055,U0002200,GG-SRC-001,Google,Search,2024-04-11,2024-04-11 13:54:00,Curso Meditacion 21 Dias,Curso,799.0,0.0,799.0,150,649.0,tarjeta_debito,desktop
TX90056,U0002207,GG-SRC-001,Google,Search,2024-04-11,2024-04-11 13:52:00,Curso Meditacion 21 Dias,Curso,799.0,0.0,799.0,150,649.0,oxxo,desktop
TX90057,U0002209,GG-SRC-001,Google,Search,2024-04-11,2024-04-11 17:59:00,Pack Inicio Bienestar,Bundle,1299.0,0.0,1299.0,240,1059.0,tarjeta_credito,desktop
TX90058,U0002211,GG-SRC-001,Google,Search,2024-04-11,2024-04-11 20:46:00,Curso Nutricion Funcional,Curso,999.0,0.0,999.0,200,799.0,paypal,movil
TX90059,U0002225,GG-SRC-001,Google,Search,2024-04-11,2024-04-11 08:44:00,Taller En Vivo Mindfulness,Taller,299.0,44.85,254.15,80,174.15,oxxo,desktop
